学号	专业	班级	姓名	题号	题目	答案	得分	总分	题目类型
20210008	信息安全	4	吴十	7	f()sh	i	10.000000	70.000000	0
20210008	信息安全	4	吴十	8	g()me	a	10.000000	80.000000	0
20210008	信息安全	4	吴十	9	l()ke	i	10.000000	90.000000	0
20210008	信息安全	4	吴十	10	n()me	a	10.000000	100.000000	0
20210008	信息安全	4	吴十	11	z()()oo	yw	10.000000	10.000000	1
20210008	信息安全	4	吴十	12	m()()th	ea	10.000000	20.000000	1
20210008	信息安全	4	吴十	13	b()()k	oo	10.000000	30.000000	1
20210008	信息安全	4	吴十	14	c()()l	oo	10.000000	40.000000	1
20210008	信息安全	4	吴十	15	f()()t	ee	10.000000	50.000000	1
20210008	信息安全	4	吴十	16	h()()r	ea	10.000000	60.000000	1
20210008	信息安全	4	吴十	17	s()()p	oo	10.000000	70.000000	1
20210008	信息安全	4	吴十	18	t()()th	ee	10.000000	80.000000	1
20210008	信息安全	4	吴十	19	wh()()	at	10.000000	90.000000	1
20210008	信息安全	4	吴十	20	th()()	is	10.000000	100.000000	1
20210009	信息安全	5	郑十一	1	r()pz	o	10.000000	10.000000	0
20210009	信息安全	5	郑十一	2	w()ter	a	10.000000	20.000000	0
20210009	信息安全	5	郑十一	3	b()ok	o	10.000000	30.000000	0
20210009	信息安全	5	郑十一	4	h()ppy	a	10.000000	40.000000	0
20210009	信息安全	5	郑十一	5	c()t	a	10.000000	50.000000	0
20210009	信息安全	5	郑十一	6	d()g	o	10.000000	60.000000	0
20210009	信息安全	5	郑十一	7	f()sh	i	10.000000	70.000000	0
20210009	信息安全	5	郑十一	8	g()me	a	10.000000	80.000000	0
20210009	信息安全	5	郑十一	9	l()ke	i	10.000000	90.000000	0
20210009	信息安全	5	郑十一	10	n()me	a	10.000000	100.000000	0
20210009	信息安全	5	郑十一	11	z()()oo	yw	10.000000	10.000000	1
20210009	信息安全	5	郑十一	12	m()()th	ea	10.000000	20.000000	1
20210009	信息安全	5	郑十一	13	b()()k	oo	10.000000	30.000000	1
20210009	信息安全	5	郑十一	14	c()()l	oo	10.000000	40.000000	1
20210009	信息安全	5	郑十一	15	f()()t	ee	10.000000	50.000000	1
20210009	信息安全	5	郑十一	16	h()()r	ea	10.000000	60.000000	1
20210009	信息安全	5	郑十一	17	s()()p	oo	10.000000	70.000000	1
20210009	信息安全	5	郑十一	18	t()()th	ee	10.000000	80.000000	1
20210009	信息安全	5	郑十一	19	wh()()	at	10.000000	90.000000	1
20210009	信息安全	5	郑十一	20	th()()	is	10.000000	100.000000	1
20210010	人工智能	5	王十二	1	r()pz	o	0.000000	0.000000	0
20210010	人工智能	5	王十二	2	w()ter	a	0.000000	0.000000	0
20210010	人工智能	5	王十二	3	b()ok	o	0.000000	0.000000	0
20210010	人工智能	5	王十二	4	h()ppy	a	0.000000	0.000000	0
20210010	人工智能	5	王十二	5	c()t	a	0.000000	0.000000	0
20210010	人工智能	5	王十二	6	d()g	o	0.000000	0.000000	0
20210010	人工智能	5	王十二	7	f()sh	i	0.000000	0.000000	0
20210010	人工智能	5	王十二	8	g()me	a	0.000000	0.000000	0
20210010	人工智能	5	王十二	9	l()ke	i	0.000000	0.000000	0
20210010	人工智能	5	王十二	10	n()me	a	0.000000	0.000000	0
20210010	人工智能	5	王十二	11	z()()oo	yw	0.000000	0.000000	1
20210010	人工智能	5	王十二	12	m()()th	ea	0.000000	0.000000	1
20210010	人工智能	5	王十二	13	b()()k	oo	0.000000	0.000000	1
20210010	人工智能	5	王十二	14	c()()l	oo	0.000000	0.000000	1
20210010	人工智能	5	王十二	15	f()()t	ee	0.000000	0.000000	1
20210010	人工智能	5	王十二	16	h()()r	ea	0.000000	0.000000	1
20210010	人工智能	5	王十二	17	s()()p	oo	0.000000	0.000000	1
20210010	人工智能	5	王十二	18	t()()th	ee	0.000000	0.000000	1
20210010	人工智能	5	王十二	19	wh()()	at	0.000000	0.000000	1
20210010	人工智能	5	王十二	20	th()()	is	0.000000	0.000000	1
